core,SMILES,CAS
1, CC(C)(C)OC(=O)NC1CC(C1)C(=O)O,939400-34-7
2,CC(C)(C)OC(=O)N1CCCC(C1)C(=O)O,84358-12-3
3,CC(C)(C)OC(=O)N1CCC(CC1)C(=O)O,84358-13-4
4,CC(C)(C)OC(=O)N1CCCC1C(=O)O,59433-50-0
5,CC(C)(C)OC(=O)N1CCC(C1)C(=O)O,59378-75-5
6,CC(C)(C)OC(=O)N1CCOC(C1)C(=O)O,189321-66-2
7,CC(C)(C)OC(=O)N(C)CC1=CC=C(C=C1)C(=O)O,210963-04-5
8,CC(C)(C)OC(=O)NC1CC(C1)C(=O)O,1008773-79-2
