amine,SMILES,CAS
1, CNC1CCOCC1,220641-87-2
2,C1CC1N2CCNCC2,20327-23-5
3,COC1CCNC1,62848-20-8
4,CC(C)(C)OC(=O)N1CC2(C1)CCNC2,885270-84-8
5,COC(=O)C1CCC(CC1)N,62456-15-9
6, C1COCC(N1)C2=CC=CC=C2,138713-44-7
7,C1CC2=CC=CC=C2NC1,635-46-1
8,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCOCCOCCOCCOCCN)NC(=O)N2,663171-32-2
